%	Data from http://www.asdi.com/apps/arm.html, figure 1
%Wavelength,m	Irradiance, W/m^2/m
350.00e-9	0.58723e9
351.00e-9	0.70940e9
352.00e-9	0.48744e9
353.00e-9	0.42752e9
354.00e-9	0.43116e9
355.00e-9	0.48164e9
356.00e-9	0.54870e9
357.00e-9	0.53153e9
358.00e-9	0.50295e9
359.00e-9	0.54654e9
360.00e-9	0.59868e9
361.00e-9	0.63560e9
362.00e-9	0.63784e9
363.00e-9	0.64605e9
364.00e-9	0.66869e9
365.00e-9	0.70714e9
366.00e-9	0.74985e9
367.00e-9	0.75305e9
368.00e-9	0.73110e9
369.00e-9	0.70836e9
370.00e-9	0.69401e9
371.00e-9	0.68236e9
372.00e-9	0.67079e9
373.00e-9	0.68646e9
374.00e-9	0.70652e9
375.00e-9	0.72594e9
376.00e-9	0.71963e9
377.00e-9	0.70750e9
378.00e-9	0.68939e9
379.00e-9	0.65630e9
380.00e-9	0.62032e9
381.00e-9	0.59379e9
382.00e-9	0.59903e9
383.00e-9	0.60758e9
384.00e-9	0.61205e9
385.00e-9	0.60767e9
386.00e-9	0.63054e9
387.00e-9	0.66109e9
388.00e-9	0.69559e9
389.00e-9	0.66880e9
390.00e-9	0.63752e9
391.00e-9	0.60908e9
392.00e-9	0.61258e9
393.00e-9	0.61604e9
394.00e-9	0.62597e9
395.00e-9	0.65160e9
396.00e-9	0.72855e9
397.00e-9	0.80833e9
398.00e-9	0.87982e9
399.00e-9	0.92832e9
400.00e-9	0.96150e9
401.00e-9	0.98002e9
402.00e-9	0.98135e9
403.00e-9	0.97353e9
404.00e-9	0.96353e9
405.00e-9	0.96014e9
406.00e-9	0.96997e9
407.00e-9	0.98002e9
408.00e-9	0.98403e9
409.00e-9	1.0042e9
410.00e-9	1.0195e9
411.00e-9	1.0281e9
412.00e-9	1.0387e9
413.00e-9	1.0470e9
414.00e-9	1.0524e9
415.00e-9	1.0502e9
416.00e-9	1.0468e9
417.00e-9	1.0445e9
418.00e-9	1.0455e9
419.00e-9	1.0499e9
420.00e-9	1.0502e9
421.00e-9	1.0441e9
422.00e-9	1.0438e9
423.00e-9	1.0440e9
424.00e-9	1.0433e9
425.00e-9	1.0336e9
426.00e-9	1.0112e9
427.00e-9	0.97768e9
428.00e-9	0.92621e9
429.00e-9	0.92989e9
430.00e-9	0.96178e9
431.00e-9	1.0183e9
432.00e-9	1.0453e9
433.00e-9	1.0786e9
434.00e-9	1.1201e9
435.00e-9	1.1388e9
436.00e-9	1.1323e9
437.00e-9	1.1163e9
438.00e-9	1.1309e9
439.00e-9	1.1624e9
440.00e-9	1.1985e9
441.00e-9	1.2312e9
442.00e-9	1.2485e9
443.00e-9	1.2560e9
444.00e-9	1.2540e9
